,,,Normalised retweets,Norm likes,weighted score,,SQUARED ERROR,,,,SUMS,,,,MSE,,
2.25E-01,1.95E-01,3.03E-01,0.209954671,0.184258468,0.20224581,,2.40E-04,1.11E-04,1.02E-02,,,,,,,,
1.91E-01,1.64E-01,2.58E-01,0.153953723,0.311998178,0.201367059,,1.35E-03,2.20E-02,3.23E-03,,,,,,,,
2.18E-01,1.88E-01,2.93E-01,0.161348621,0.290940214,0.200226099,,3.20E-03,1.06E-02,8.69E-03,,,,,,,,
2.55E-01,2.21E-01,3.40E-01,0.174111931,0.258393761,0.19939648,,6.51E-03,1.37E-03,1.97E-02,,,,,,,,
1.91E-01,1.64E-01,2.59E-01,0.150605872,0.313126558,0.199362078,,1.64E-03,2.22E-02,3.52E-03,,,,,,,,
3.92E-02,3.26E-02,5.22E-02,0.152312387,0.30876912,0.199249407,,1.28E-02,7.63E-02,2.16E-02,,,,,,,,
1.58E-01,1.35E-01,2.15E-01,0.156027612,0.300018423,0.199224855,,4.70E-06,2.73E-02,2.61E-04,,,,,,,,
1.97E-01,1.69E-01,2.66E-01,0.146173673,0.320820519,0.198567727,,2.57E-03,2.30E-02,4.58E-03,,,,,,,,
2.51E-01,2.18E-01,3.35E-01,0.161401949,0.284569092,0.198352092,,7.97E-03,4.49E-03,1.86E-02,,,,,,,,
1.83E-01,1.57E-01,2.48E-01,0.162634432,0.281311888,0.198237669,,4.14E-04,1.55E-02,2.49E-03,,,,,,,,
1.62E-01,1.39E-01,2.21E-01,0.176849465,0.247793136,0.198132566,,2.12E-04,1.19E-02,5.15E-04,,,,,,,,
2.20E-01,1.90E-01,2.96E-01,0.149302284,0.305258606,0.196089181,,4.94E-03,1.34E-02,9.90E-03,,,,,,,,
1.77E-01,1.52E-01,2.41E-01,0.171901757,0.251531372,0.195790641,,3.07E-05,9.92E-03,2.03E-03,,,,,,,,
2.34E-01,2.03E-01,3.14E-01,0.155387669,0.28686679,0.194831405,,6.22E-03,7.08E-03,1.42E-02,,,,,,,,
1.31E-01,1.11E-01,1.78E-01,0.147400231,0.303925532,0.194357821,,2.77E-04,3.72E-02,2.52E-04,,,,,,,,
1.66E-01,1.41E-01,2.25E-01,0.159517673,0.272701919,0.193472946,,3.62E-05,1.72E-02,1.00E-03,,,,,,,,
1.31E-01,1.11E-01,1.79E-01,0.173051284,0.240413893,0.193260067,,1.78E-03,1.67E-02,2.13E-04,,,,,,,,
1.64E-01,1.40E-01,2.24E-01,0.172861672,0.237259036,0.192180881,,7.30E-05,9.40E-03,9.83E-04,,,,,,,,
8.66E-02,7.29E-02,1.18E-01,0.125268865,0.347632962,0.191978094,,1.49E-03,7.55E-02,5.47E-03,,,,,,,,
1.10E-01,9.33E-02,1.51E-01,0.167108109,0.249471632,0.191817166,,3.22E-03,2.44E-02,1.69E-03,,,,,,,,
2.61E-01,2.27E-01,3.48E-01,0.159541374,0.264816056,0.191123779,,1.04E-02,1.40E-03,2.46E-02,,,,,,,,
3.75E-01,3.33E-01,4.82E-01,0.146837318,0.288890708,0.189453335,,5.22E-02,1.99E-03,8.57E-02,,,,,,,,
2.53E-01,2.20E-01,3.38E-01,0.14523746,0.290876247,0.188929096,,1.17E-02,5.02E-03,2.22E-02,,,,,,,,
1.76E-01,1.50E-01,2.39E-01,0.158095577,0.259939206,0.188648665,,3.13E-04,1.20E-02,2.51E-03,,,,,,,,
2.34E-01,2.02E-01,3.14E-01,0.149177851,0.27784999,0.187779492,,7.19E-03,5.68E-03,1.59E-02,,,,,,,,
1.72E-01,1.47E-01,2.34E-01,0.170112286,0.227505335,0.187330201,,3.90E-06,6.45E-03,2.16E-03,,,,,,,,
9.37E-02,7.89E-02,1.28E-01,0.155814298,0.255855547,0.185826673,,3.86E-03,3.13E-02,3.37E-03,,,,,,,,
2.05E-01,1.76E-01,2.76E-01,0.135253163,0.303416354,0.18570212,,4.82E-03,1.62E-02,8.22E-03,,,,,,,,
1.42E-01,1.21E-01,1.94E-01,0.148194235,0.27256375,0.185505089,,3.92E-05,2.31E-02,6.52E-05,,,,,,,,
1.51E-01,1.29E-01,2.06E-01,0.143412437,0.28305691,0.185305779,,6.43E-05,2.37E-02,4.43E-04,,,,,,,,
1.29E-01,1.10E-01,1.76E-01,0.150439961,0.262702584,0.184118748,,4.55E-04,2.35E-02,6.18E-05,,,,,,,,
