weighted score,Normalised retweets,Norm likes,,weighted score,Normalised retweets,Norm likes,,SQUARED ERROR,,,,SUM,,,,MSE,,
1.66E-02,2.40E-02,1.62E-02,,0.250077231,0.146215151,0.252692537,,0.054502338,0.014948221,0.055934071,,,,,,,,
2.01E-02,1.37E-02,2.08E-02,,0.245508386,0.136307884,0.251217245,,0.050790203,0.015027053,0.053100499,,,,,,,,
2.49E-02,1.68E-02,2.50E-02,,0.25507085,0.164577963,0.251048201,,0.052963672,0.021842434,0.051116125,,,,,,,,
4.97E-02,2.53E-02,4.98E-02,,0.235506922,0.107652653,0.250999536,,0.034524142,0.006788273,0.040484702,,,,,,,,
6.79E-02,3.82E-02,6.80E-02,,0.235956084,0.109216958,0.250889402,,0.02824333,0.005045053,0.03343327,,,,,,,,
4.80E-01,2.87E-01,4.85E-01,,0.241756567,0.128350073,0.249928925,,0.056706207,0.025266005,0.055381561,,,,,,,,
1.49E-02,1.05E-02,1.54E-02,,0.242065492,0.130536545,0.249373129,,0.051599825,0.014419289,0.054733979,,,,,,,,
1.22E-01,6.80E-02,1.23E-01,,0.240205842,0.126868723,0.248614992,,0.013856889,0.003461085,0.015679484,,,,,,,,
2.50E-01,1.21E-01,2.44E-01,,0.234637053,0.114496489,0.246945043,,0.000246463,3.83801E-05,8.46112E-06,,,,,,,,
6.36E-02,4.20E-02,6.61E-02,,0.234198054,0.11421207,0.246514749,,0.02911585,0.005216819,0.032552404,,,,,,,,
1.59E-02,2.26E-02,1.53E-02,,0.234785419,0.116197079,0.246396931,,0.047932134,0.008766015,0.053394605,,,,,,,,
1.23E-01,7.27E-02,1.24E-01,,0.244189355,0.145261162,0.245684897,,0.014762245,0.005271762,0.014882902,,,,,,,,
5.11E-02,3.16E-02,5.31E-02,,0.229866999,0.103706337,0.245597814,,0.031945008,0.005205522,0.037054945,,,,,,,,
4.64E-02,3.49E-02,4.62E-02,,0.2458417,0.15198649,0.244860167,,0.039792569,0.013706404,0.039462767,,,,,,,,
3.26E-02,1.88E-02,3.25E-02,,0.24727861,0.156750511,0.244611724,,0.046098624,0.019033483,0.04500886,,,,,,,,
6.86E-02,3.70E-02,6.87E-02,,0.236504833,0.125879181,0.244378648,,0.02817954,0.00790343,0.030875601,,,,,,,,
3.32E-01,1.82E-01,3.36E-01,,0.235458145,0.124954819,0.243459152,,0.009310588,0.003282172,0.008521828,,,,,,,,
4.82E-02,2.96E-02,4.83E-02,,0.237427545,0.130844666,0.24339512,,0.035804363,0.010252624,0.038081615,,,,,,,,
1.85E-01,1.05E-01,1.87E-01,,0.243591828,0.15072438,0.24257039,,0.003408284,0.002113801,0.003079592,,,,,,,,
4.28E-01,2.62E-01,4.33E-01,,0.241293178,0.144461233,0.242380856,,0.034892966,0.013787533,0.036490854,,,,,,,,
2.64E-01,1.31E-01,2.68E-01,,0.237378767,0.13417474,0.241894214,,0.000716565,1.07904E-05,0.000686546,,,,,,,,
2.40E-01,1.35E-01,2.43E-01,,0.230690123,0.115148283,0.241689313,,8.74557E-05,0.000399795,1.1537E-06,,,,,,,,
6.96E-02,5.46E-02,6.94E-02,,0.247977757,0.167730276,0.240746764,,0.031829791,0.012805289,0.029347835,,,,,,,,
1.64E-01,9.19E-02,1.65E-01,,0.244282846,0.160714603,0.239122918,,0.006516863,0.004739143,0.005487572,,,,,,,,
7.40E-02,4.37E-02,7.69E-02,,0.24824197,0.1736616,0.238515897,,0.03035988,0.016882521,0.026116441,,,,,,,,
1.59E-01,9.05E-02,1.55E-01,,0.234939881,0.137652949,0.237317221,,0.005804285,0.002220921,0.006811864,,,,,,,,
5.36E-02,3.16E-02,5.37E-02,,0.225607079,0.110455367,0.237312099,,0.029573355,0.006214308,0.033701141,,,,,,,,
4.44E-02,2.42E-02,4.44E-02,,0.237199915,0.145267087,0.236874121,,0.037161108,0.01465605,0.03706248,,,,,,,,
7.56E-02,4.48E-02,7.59E-02,,0.227228938,0.117056262,0.236502737,,0.023005446,0.005219003,0.025780295,,,,,,,,
3.44E-01,2.01E-01,3.48E-01,,0.246357931,0.172861672,0.236487369,,0.009469351,0.000802051,0.012343,,,,,,,,
1.31E-01,7.65E-02,1.32E-01,,0.226753356,0.11606672,0.236331131,,0.009163718,0.001564964,0.010877863,,,,,,,,
1.47E-01,8.51E-02,1.48E-01,,0.239543278,0.154101858,0.236008411,,0.008562576,0.004754761,0.007696806,,,,,,,,
3.04E-01,1.81E-01,3.08E-01,,0.231204322,0.130921696,0.235519208,,0.005320861,0.002461477,0.005266096,,,,,,,,
1.48E-01,8.23E-02,1.49E-01,,0.240380629,0.158225935,0.23528101,,0.00858572,0.005759531,0.007454163,,,,,,,,
4.73E-01,2.80E-01,4.79E-01,,0.225812352,0.116908127,0.234781562,,0.061238547,0.026758623,0.059528607,,,,,,,,
2.81E-02,2.16E-02,2.79E-02,,0.23517564,0.146600302,0.233746808,,0.042862651,0.015615924,0.042356354,,,,,,,,
1.49E-02,1.05E-02,1.53E-02,,0.222532051,0.10975617,0.233739124,,0.043111199,0.009849921,0.047707164,,,,,,,,
5.20E-01,3.23E-01,5.26E-01,,0.263019584,0.227867153,0.233708389,,0.065818388,0.009011665,0.085186387,,,,,,,,
7.31E-02,4.34E-02,7.33E-02,,0.229797898,0.131460907,0.233513732,,0.024543676,0.007761754,0.025654634,,,,,,,,
4.36E-02,2.66E-02,4.36E-02,,0.223436471,0.114253548,0.232934885,,0.032349775,0.007675264,0.035856305,,,,,,,,
8.27E-02,5.11E-02,8.32E-02,,0.225074589,0.119704915,0.2326429,,0.020272087,0.004710167,0.02234649,,,,,,,,
